ID;RESPOND;Region;Region_edu;P5a;P5b;P5c;P5d;P5e1;P5e2;P5f1;P5f2;P5g;P5h;P5i;P5j;P5k_1;P5k_2;P5k_3;P5k_4;P5k_5;P5k_6;P5k_7;P5k_98;P5kEsp98;P5l;P6;P7;P8_1;P8_2;P8_3;P8_98;P8Esp98;filtro_NNA;p39a;P40;P40Esp98;P41_1;P41_2;P41_3;P41_4;P41_5;P41_6;P41_7;P41_8;P41_11;P41_12;P41_98;P41Esp98;P42;P43_1;P43_2;P43_3;P43_4;P43_5;P43_6;P43_7;P43_8;P43_9;P43_98;P43Esp98;P44;P45_1;P45_2;P45_3;P45_4;P45_5;P45_98;P45Esp98;P46_1;P46_2;P46_3;P46_4;P46_5;P46_6;P46_7;P46_8;P46_9;P46_11;P46_12;P46_99;P47;P47A;P48;P49_1;P49_2;P49_3;P49_4;P49_98;P49Esp98;P50;P51_1;P51_2;P52;p39b;P53_1;P53_2;P53_3;P53_4;P53_5;P53_6;P53_7;P53_98;P53_99;P53Esp98;P54a_1;P54a_2;P54a_3;P54a_4;P54a_5;P54a_6;P54a_7;P54a_8;P54a_9;cant_tec;P54b_1;P54b_2;P54b_3;P54b_4;P54b_5;P54b_6;P54b_7;P54b_8;P54b_9;P55;P56;P57;P58;P59a_1;P59a_2;P59a_3;P59a_4;P59a_5;P59a_6;P59a_7;P59a_8;P59b_1;P59b_2;P59b_3;P59b_4;P59b_5;P59b_6;P59b_7;P59b_8;P60_1;P60_2;P60_3;P60_4;P60_5;P60_6;P60_7;P60_8;P60_9;P60_98;P60Esp98;act_fisica;P61;P62_1;P62_2;P62_3;estado_animo;P63_1;P63_2;P63_3;P63_4;P63_5;P63_6;P63_7;P63_98;P63_99;P63Esp98;P64;P65;P66;nivel_setor;nivel_sector2;ayuda_labor;ayuda_hnos;tipo_SE;intens_CP;perc_AUH;perc_IFE;acceso_comp;dispo_comp;compu_NNA;acceso_int;tipo_int;acceso_TIC;NEA;clima;clima_dico;VSEH;VSEH_dico;pondera_preliminar;pondera_definitivo
58808;#2;Cuyo;2;13;1;2;1;3;;12;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;5;7;;;1;6;1;1;1;1;2;1;1;1;2;4;1;2;1;1.163;1.395
58904;#1;Cuyo;2;5;1;2;1;1;;4;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;;;;;7;;;; ;3;1;2;;4;;; ;;;3;;6;7;8;;;;;;1; ;1;1;2;;;; ;3;2;1;1;mandan videos y al no tener crédito no los podemos ver y nos atrasamos;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;3;2;1;2;3;3;2;3;4;2;5;2;1;1;172;220
58904;#2;Cuyo;2;3;2;2;1;1;;2;;1;;;;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;6;6;2;1;2;3;3;2;3;4;2;5;2;1;1;172;220
58908;#1;Cuyo;2;9;2;2;1;2;;7;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;5; ;;2;3;4;;6;7;;;;; ;1;;;;;;;7;;;; ;3;1;;;;;; ;1;;;;;;;;10;12;;;1; ;1;1;;;;; ;2;2;1;4;ESTOY MUY CONTENTA PORQUE LOS CHICOS SIGUEN APRENDIENDO AUNQUE NO PUEDAN IR A LA ESCUELA.;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;2;2;2;3;3;2;3;4;2;7;2;3;2;446;544
58913;#1;Cuyo;2;10;2;2;1;2;;9;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;;;;;7;;;; ;3;1;;;;;; ;1;;3;;6;;8;;10;;;;1; ;2;;2;;;; ;3;2;1;1;nada más;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;1;1;2;3;3;1;1;3;2;4;1;2;1;446;544
58915;#1;Cuyo;2;1;2;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;2;2;1;1;1;2;3;2;2;5;2;3;2;281;50
58915;#2;Cuyo;2;8;1;2;1;2;;7;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;;6;;;;;; ;1;;;3;4;;;7;;;; ;3;1;;;;;; ;1;;;;;;;;;12;;;1; ;1;1;2;;;; ;3;1;1;4;nos adaptamos muy bien;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;3;2;2;1;1;1;2;3;2;2;5;2;3;2;281;50
58919;#1;Cuyo;2;3;1;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;1;1;2;3;3;2;3;4;2;5;2;1;1;993;432
58919;#2;Cuyo;2;10;1;2;1;2;;9;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;6;1;1;2;3;3;2;3;4;2;5;2;1;1;993;432
58919;#3;Cuyo;2;8;1;2;1;2;;7;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;3;;;;7;;;; ;1;1;;;;;; ;1;;;;;;8;;10;12;;;1; ;1;;2;;;; ;2;2;1;4;no;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;1;1;1;2;3;3;2;3;4;2;5;2;1;1;993;432
58919;#4;Cuyo;2;7;2;2;1;2;;6;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;6;1;1;2;3;3;2;3;4;2;5;2;1;1;993;432
59014;#1;Cuyo;2;6;2;2;1;2;;5;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;;4;5;6;7;;;;; ;1;;;;;;;7;;;; ;4;1;;;;;; ;;2;3;;;7;8;;;12;;;1; ;2;1;;;;; ;3;2;1;4;en cuato a laia he notado que recien empezaron a moverse un poquito mas ahora que se estan organizando mucho mejor trato de explicarle todo lo que ella me deja ayudarla me sirvio mucho esta encierro para compartir con mis hijos al ser docente no tube;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;4;2;2;1;2;2;1;1;1;2;7;2;4;2;691;831
59014;#2;Cuyo;2;3;2;2;1;1;;2;;2;;;;;;;;;;;; ;99;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;2;3;;;6;6;2;2;1;2;2;1;1;1;2;7;2;4;2;691;831
59201;#1;Cuyo;2;5;1;2;1;1;;4;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;;;;;; ;1;;;;;;;7;;;; ;4;1;;;;;; ;;;3;;;;;;;;;;2; ;1;;2;;;; ;2;2;1;1;es una experiencia  nueva el enseñar a nuestros propios hijos creo que para  para todos los padres   es un desafio   los chicos necesitan a su maestro;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;4;1;1;2;3;3;1;1;3;1;3;1;2;1;317;362
59207;#1;Cuyo;2;11;1;2;1;2;;9;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;3;;;;7;;;; ;3;1;;;;;; ;1;;3;;;7;8;;10;;;;1; ;1;1;2;3;;; ;2;2;1;2;nada;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;1;1;2;3;3;2;3;4;1;4;1;1;1;1.217;1.649
59207;#2;Cuyo;2;7;2;2;1;2;;6;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;6;1;1;2;3;3;2;3;4;1;4;1;1;1;1.217;1.649
59211;#1;Cuyo;2;11;2;2;1;2;;10;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;3;4;;6;7;;;;; ;1;;;;;;;;;;98;lo envian a la compañera que le está enseñando y ella la trae;3;1;;;;;; ;;;;;;7;8;;10;;;;1; ;1;;2;;;; ;2;2;2;;nada más;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;2;2;2;3;3;3;4;4;1;1;1;3;2;770;940
59213;#1;Cuyo;2;19;1;2;1;3;;17;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;5;7;;;1;6;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#2;Cuyo;2;18;1;2;2;;3;;13;1;2;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;5;6;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#3;Cuyo;2;16;1;2;1;3;;13;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;6;8;;;1;6;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#4;Cuyo;2;13;1;2;1;3;;13;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;3;;;6;7;;;; ;3;1;;;;;; ;;2;3;;;;8;;;;;;1; ;1;;;3;;; ;3;2;1;3; ;1;;;;;6;;;; ;2;2;1;1;2;1;2;2;2;3;;;1;99;;1;;;;2;2;1;2;2;1;1;3;2;2;2;2;2;1;1;2;1;1;1;2;;;;4;5;;;8;;; ;2;2;2;2;2;1;;;;;;;;;99; ;NADA;1;REALIZAR TAREAS DEL COLEGIO A DISTANCIA;5;7;1;1;1;3;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#5;Cuyo;2;11;1;2;1;2;;10;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;;;5;6;7;;;;; ;1;;;3;;;;;;;; ;3;1;;;;;; ;;2;;;;;8;;;;;;1; ;1;1;2;;;; ;3;2;1;3; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;3;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#6;Cuyo;2;5;1;2;1;1;;4;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;6;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#7;Cuyo;2;3;2;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59213;#8;Cuyo;2;3;2;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;2;2;2;3;3;2;3;4;1;4;1;3;2;901;01
59215;#1;Cuyo;2;17;1;2;1;3;;17;;1;;1;1;;;;;;;;; ;99;;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;;;;;7;;;; ;4;1;;;;;; ;;;;;;;8;;;12;;;3; ;2;;2;;;; ;4;2;1;2; ;;;;;;;;;99; ;2;2;1;2;2;2;2;2;2;2;;;2;;;;;;;1;1;1;1;2;2;2;2;3;3;2;3;1;1;1;2;2;1;2;2;;;3;;5;;;8;9;; ;2;2;2;1;1;3;1;2;;;;;;;; ;senti que perdi el año ya me falta poco y no aprendi nada si llego a pasar va a ser en vano por que no aprendi nada;1;aprendi a estar mas tiempo con mi familia;5;7;1;2;1;4;1;1;2;3;3;2;3;4;1;3;1;1;1;863;969
59216;#1;Cuyo;2;5;2;2;1;1;;4;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;4; ;1;2;3;4;5;6;7;;;;; ;1;;;;;;;7;;;; ;3;1;;;;;; ;1;;3;;6;7;8;;10;;;;2; ;2;;2;;;; ;2;2;1;2;nada más;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;3;2;2;2;3;3;3;4;4;1;2;1;3;2;743;194
59216;#2;Cuyo;2;10;1;2;1;2;;9;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;6;2;2;2;3;3;3;4;4;1;2;1;3;2;743;194
59216;#3;Cuyo;2;15;1;2;2;;2;;11;1;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;5;6;2;2;2;3;3;3;4;4;1;2;1;3;2;743;194
59216;#4;Cuyo;2;17;2;2;1;3;;16;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;;;;;7;;;; ;3;1;;;;;; ;1;;3;;;7;8;;;;;;1; ;1;;2;;;; ;3;2;1;2; ;1;;;;5;;7;;; ;1;2;1;2;2;2;1;2;2;3;1;;1;;;;1;;;1;3;2;2;2;1;1;2;1;3;3;3;1;1;1;2;1;1;2;2;;2;3;4;5;6;;8;9;; ;1;2;1;2;1;3;;;;;;;;;99; ;nada más;2; ;5;7;2;1;1;3;2;2;2;3;3;3;4;4;1;2;1;3;2;743;194
59220;#1;Cuyo;2;9;2;2;1;2;;7;;2;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;;2;3;4;;6;7;;;;; ;1;;;;;;;7;;;; ;3;1;;;;;; ;;;;;;7;8;;;;;;1; ;1;1;;;;; ;2;2;1;3;nada;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;3;1;2;2;3;3;2;3;4;2;5;2;3;2;967;1.140
59309;#1;Cuyo;2;13;1;2;1;3;;13;;1;;1;1;;;;;;;;; ;99;;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;3;4;5;;7;;;; ;2;1;;;;;; ;;2;;;;7;8;;10;;;;2; ;1;1;2;;;; ;3;2;1;4; ;;;;;;;;;99; ;2;1;1;1;2;1;1;2;2;4;;99;1;1;;1;1;;;1;3;1;1;2;1;1;2;2;1;1;1;2;1;1;2;1;1;1;1;;;3;4;5;;7;8;;; ;2;2;2;2;2;1;;;;;;;;98;;tia;no nada, no se;1;a andar en moto;5;7;1;1;1;2;2;2;1;1;2;2;3;2;1;3;1;3;2;250;296
59309;#2;Cuyo;2;4;2;2;1;1;;3;;1;;1;1;;;;;;;;; ;2;;;;;;; ;1;no;1; ;;2;3;;5;;;;;;; ;1;1;;3;;;;7;;;; ;4;1;;;;;; ;;2;;;;7;;;;;;;2; ;3;;;;;; ;2;2;1;4;es dificil llevar esto..no puedo ayudar bien a fabrizio, es muy corto y no entiende la tarea y cuando la profe lo llama no dice nada, por eso quisiera que empezara la escuela, pero tambien da miedo, aca no hay coronavirus , pero si viene alguen de af;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;4;2;2;1;1;2;2;3;2;1;3;1;3;2;250;296
59311;#1;Cuyo;2;1;2;2;2;;5;;;;;;;;;;;;;;; ;;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;0;9;;;6;6;1;2;2;3;3;2;3;4;2;5;2;3;2;90;13
59311;#2;Cuyo;2;4;1;1;1;1;;3;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;3;;;;7;;;; ;1;1;;;;;; ;;;;;6;7;8;9;10;;;;2; ;2;;2;;;; ;1;2;1;1;nada más;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;1;1;2;2;3;3;2;3;4;2;5;2;3;2;90;13
59311;#3;Cuyo;2;7;1;2;1;2;;6;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;3;;;;7;;;; ;1;1;;;;;; ;1;2;3;;;7;8;9;;;;;1; ;2;1;2;;;; ;1;2;1;1; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;1;1;2;2;3;3;2;3;4;2;5;2;3;2;90;13
59319;#1;Cuyo;2;15;1;2;1;3;;12;;1;;1;2;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;;;;;7;;9;; ;1;1;;;;;; ;;;3;;;7;;;;12;;;3; ;2;1;;;4;; ;3;2;1;1; ;;;3;;;;7;;; ;2;1;1;2;2;2;1;2;2;3;;2;2;;;;2;;;1;3;2;1;3;2;2;3;2;2;2;3;2;1;1;2;1;1;1;2;;;3;4;5;6;;8;;; ;1;2;2;2;2;1;1;;;;5;;;;; ;no solo tengo ganas de volver al colegio asi no estamos entendiendo nada de las clases ni de la smaterias como matematica o lengua que nos cuesta mucho aprender y ponernos al dia con esas materias;2; ;5;7;1;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;514;743
59319;#2;Cuyo;2;12;1;2;1;2;;10;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;6;1;1;2;3;3;2;3;4;1;3;1;1;1;514;743
59319;#3;Cuyo;2;7;2;2;1;2;;5;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;;;;;;;;; ;1;;;;;;;7;;;; ;1;1;;;;;; ;;;;;;;8;;;12;;;2; ;2;;2;;;; ;3;2;1;1;es diferente muy dificil para nostros los padres nos cuesta mucho manda muchos guias muchas tareas para que se manejen solo y en mi caso tengo que pagar una particular por que solo te mandan las guias del colegio y no son claras sus explicacion apart;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;1;1;1;2;3;3;2;3;4;1;3;1;1;1;514;743
59319;#4;Cuyo;2;5;2;2;1;1;;4;;1;;1;2;;;;;;;;; ;99;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;2;6;1;1;2;3;3;2;3;4;1;3;1;1;1;514;743
59320;#1;Cuyo;2;14;2;2;1;3;;14;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;2; ;; ;;;;;;;;;;;; ;1;;;3;;;;;;;; ;2;1;;;;;; ;;;;;;;8;;;;;;1; ;1;1;;;;; ;3;2;1;3; ;1;;;4;5;;;;; ;2;2;1;2;2;2;1;1;2;3;;;1;;;;1;2;;1;1;1;2;2;1;1;2;3;3;3;3;2;1;1;1;2;1;2;2;1;;3;4;5;;;8;;; ;2;2;2;1;1;3;;2;;;;;;;; ;QUIERO VOLVER AL COLEGIO PORQUE TENGO MIEDO DE PERDER EL AÑO;1;MANEJARME CON LAS TAREAS A DISTANCIA;5;7;2;2;1;2;2;2;2;3;3;2;3;4;1;3;1;3;2;266;299
59407;#1;Cuyo;2;11;2;2;1;2;;11;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;8;;;; ;2;;;;;;;;;;; ;4;1;;;;;; ;;;;;6;;8;;;;;;1; ;1;;2;;;; ;3;2;1;4;no;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;3;5;;;1;4;2;2;2;3;3;2;3;4;1;4;1;3;2;465;602
59407;#2;Cuyo;2;4;2;2;1;1;;3;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;;6;7;;;;; ;2;;;;;;;;;;; ;2;1;;;;;; ;;;;;;;8;;;;;;1; ;1;;2;;;; ;2;2;1;4; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;2;2;2;2;3;3;2;3;4;1;4;1;3;2;465;602
59410;#1;Cuyo;2;5;2;2;1;1;;4;;1;;1;1;;;;;;;;; ;1;1;;;;;; ;1;no;1; ;1;2;3;4;5;6;7;;;;; ;1;;;;;;;7;;;; ;1;1;;;;;; ;;;3;;6;7;8;;10;;;;1; ;2;;2;;;; ;2;2;1;1;nada mas;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;1;1;;;1;1;2;2;2;3;3;1;1;3;2;5;2;4;2;204;233
59504;#1;Cuyo;2;9;1;2;1;2;;8;;2;;1;1;;;;;;;;; ;99;;;;;;; ;3; ;; ;;;;;;;;;;;; ;;;;;;;;;;;; ;;;;;;;; ;;;;;;;;;;;;;; ;;;;;;; ;;;;; ;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;2;;;;;;;;;;;;;;; ; ;; ;4;6;;;1;6;2;2;1;1;2;1;1;1;2;7;2;4;2;875;1.170
