ID;Region;Region_edu;Dominio;P1;P2;P3;P4;P9B1;conoce_web;usa_web;P9C1;P9B2;conoce_TV;usa_TV;P9C2;P9B3;conoce_radio;usa_radio;P9C3;P9B4;conoce_digital;usa_digital;P9C4;P9A5;P9B5;usa_impreso;P9C5;P10;P10a;P11;P11a;P11b;P11c;P11d;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29a;P29b;P30;P31;P32;P33;P34;P35;P36;P37;P38;NNA_asisten;cober_salud;pers_amb;hacinam;hacina2;perd_empleo;perc_AUH;perc_IFE;auh_ife;acceso_comp;dispo_comp;compu_NNA;acceso_int;tipo_int;acceso_TIC;NEA;clima;clima_dico;VSEH;VSEH_dico;tipo_SE;pondera_preliminar;pondera_definitivo
118;AMBA;1;1;1;;4;2;3;1;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;2; ;1;1;0;0;0;2;2;3;1;1;3;2;1;2;1;2;3;1;1;8;2;2;2;;9;1;1;3;3;3;2;2;2;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;9;2;4;2;1;179;02
203;AMBA;1;5;1;;3;1;5;2;3;;5;2;3;;5;2;3;;5;2;3;;2;;3;;99; ;2;0;2;0;0;2;2;4;1;1;1;2;;3;;2;1;1;;5;2;1;;1;;1;2;3;1;1;1;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;5;2;4;2;1;3.020;3.255
519;AMBA;1;3;1;;4;2;4;2;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;99; ;1;0;1;0;0;2;2;2;1;2;;;;2;;2;3;1;1;5;2;2;1;;3;1;3;1;3;1;1;3;3;1;1;02;2;1;2;2;2;4;2;3;3;1;1;3;2;3;1;4;2;1;1.044;61
801;AMBA;1;5;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;2;1;2;;;;3;;2;3;1;1;5;2;1;;1;;1;3;3;3;1;1;2;3;1;1;02;2;1;2;2;2;4;2;3;3;1;1;3;2;5;2;4;2;1;813;02
802;AMBA;1;3;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;2;1;2;1;1;3;2;;2;;1;1;2;;6;2;2;1;;8;1;1;3;2;1;1;2;3;2;1;02;2;1;2;2;1;3;1;1;1;1;2;1;2;8;2;2;1;1;4.018;4.480
804;AMBA;1;5;1;;4;2;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;0;1;1;0;2;2;2;1;1;1;2;;4;;2;3;1;1;6;2;1;;1;;1;3;3;3;1;1;3;3;2;1;02;2;1;2;2;2;4;1;1;2;1;1;1;2;6;2;4;2;1;7.369;7.961
813;AMBA;1;5;1;;6;4;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;1;0;0;2;2;4;1;1;3;2;1;4;1;1;3;2;2;8;2;1;;1;;1;1;1;3;3;1;1;1;4;1;02;1;1;2;2;2;4;1;1;2;1;2;1;2;8;2;4;2;1;7.591;8.800
910;AMBA;1;5;1;;5;3;4;2;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;0;0;2;0;2;2;5;1;1;2;2;;4;;1;3;1;1;9;1;1;;2;;1;2;2;3;1;1;2;3;3;1;01;1;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;7.503;8.377
1015;AMBA;1;2;1;;3;2;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;1;3;3;;2; ;1;0;0;0;1;1;2;2;1;1;1;2;;1;;2;3;1;1;5;2;1;;3;;1;2;3;2;2;2;3;3;2;2;02;1;1;1;1;2;2;1;1;2;1;1;1;2;5;2;3;2;1;2.079;2.580
1016;AMBA;1;2;1;;4;2;5;2;3;;1;1;1;1;4;2;3;;4;2;3;;1;1;1;1;1;libros;1;0;1;0;0;2;2;3;1;1;1;2;;4;;2;3;1;1;9;1;1;;1;;1;3;3;3;2;1;3;3;2;1;01;1;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;2.079;2.580
1505;AMBA;1;3;1;;3;2;3;1;3;;1;1;1;1;4;2;3;;4;2;3;;1;1;1;2;2; ;1;0;0;1;0;2;2;2;1;1;1;2;;2;;2;1;1;;7;2;1;;2;;1;1;3;3;1;1;3;3;2;1;02;1;1;2;2;2;4;1;1;2;1;1;1;2;7;2;4;2;1;2.285;2.836
2104;AMBA;1;3;1;;4;2;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;1;libros de cuentos;2;1;1;0;0;2;2;2;1;1;3;2;1;2;1;2;3;2;2;8;1;1;;1;;2;1;1;3;3;1;1;3;1;1;02;2;1;2;2;2;4;1;1;1;1;2;1;2;8;2;4;2;1;455;02
2110;AMBA;1;5;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;2;0;2;2;2;1;1;1;2;;3;;1;1;1;;8;2;2;2;;4;1;3;3;3;3;1;3;3;1;1;02;2;1;2;2;2;4;1;1;1;1;1;1;2;4;1;4;2;1;1.684;97
2119;AMBA;1;3;1;;4;2;3;1;3;;2;1;2;2;4;2;3;;4;2;3;;2;;3;;2; ;2;2;0;0;0;1;2;3;1;1;1;2;2;2;2;2;3;1;1;7;2;2;1;;8;1;3;2;3;3;1;3;3;2;1;01;1;1;2;1;2;2;1;2;2;1;1;1;2;8;2;4;2;1;4.201;4.683
2219;AMBA;1;3;1;;4;2;3;1;3;;2;1;2;2;3;1;3;;2;1;2;2;1;2;2;2;2; ;1;0;0;1;0;2;1;2;1;1;2;2;;2;;1;3;1;1;8;2;1;;1;;1;1;3;3;1;1;2;3;2;1;02;2;1;2;2;1;3;1;1;1;1;1;1;2;8;2;2;1;1;3.668;4.089
3506;AMBA;1;1;2;1;4;2;4;2;3;;2;1;2;2;4;2;3;;4;2;3;;1;2;2;2;2; ;2;0;0;2;0;1;1;2;1;2;;;;2;;2;2;;2;5;1;1;;3;;1;2;3;3;1;2;3;1;1;2;02;2;1;2;1;1;1;2;3;3;2;3;4;2;5;2;1;1;1;113;01
3516;AMBA;1;2;1;;6;3;2;1;2;1;1;1;1;1;4;2;3;;4;2;3;;2;;3;;2; ;3;1;2;0;0;2;1;5;1;1;2;1;0;2;1;2;1;1;;5;2;1;;1;;1;3;3;2;1;1;3;3;3;1;01;1;1;2;2;1;3;1;1;2;1;1;1;2;5;2;2;1;1;2.511;3.310
3614;AMBA;1;2;1;;4;2;1;1;1;1;3;1;3;;2;1;2;2;2;1;2;2;1;4;3;;1;la plataforma digital;1;1;0;0;0;2;2;3;1;1;1;1;2;2;1;2;1;1;;4;2;1;;1;;1;1;2;2;1;1;1;2;2;1;01;1;1;2;2;2;4;1;2;2;1;1;1;1;4;1;4;2;1;4.975;6.403
4115;AMBA;1;2;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;1;libros;2;0;0;2;0;2;1;2;1;1;1;1;;2;;2;1;1;;5;1;1;;1;;1;1;1;1;1;1;1;1;1;1;02;1;1;2;2;1;3;1;1;1;1;1;1;2;5;2;2;1;1;3.035;3.593
4206;AMBA;1;4;1;;6;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;99; ;3;0;1;2;0;2;2;3;1;1;1;2;;6;;2;3;1;2;3;2;2;1;;3;1;1;3;3;1;1;1;3;2;1;02;2;1;2;2;2;4;1;1;2;1;1;1;1;3;1;4;2;1;4.315;4.810
4211;AMBA;1;4;1;;5;4;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;2;0;2;2;3;2;2;;;;3;;2;2;;2;5;2;1;;3;;3;2;2;1;1;1;1;1;4;2;02;1;1;2;2;2;4;2;3;3;2;3;4;2;5;2;3;2;1;4.591;5.548
4419;AMBA;1;5;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;2;1;1;1;2;;2;;2;3;1;1;8;2;1;;1;;1;1;3;3;1;1;3;3;1;1;02;1;1;2;2;2;4;1;1;1;1;1;1;2;8;2;4;2;1;3.893;4.094
5115;AMBA;1;3;1;;4;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;0;1;0;2;2;4;1;1;2;2;1;3;1;2;1;1;;8;2;1;;1;;1;3;3;2;1;3;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;8;2;4;2;1;3.919;4.453
5807;AMBA;1;5;1;;4;2;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;0;0;2;0;2;1;3;2;2;;;;3;;2;1;1;;5;2;2;3;;5;1;1;3;1;1;1;3;1;2;2;01;1;1;2;2;1;3;2;3;3;1;1;3;2;5;2;2;1;1;1.759;1.926
6119;AMBA;1;2;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;2;2;2;2; ;1;0;0;1;0;2;1;3;1;1;1;2;;2;;2;1;1;;7;2;1;;3;;1;3;2;2;1;1;3;3;1;2;01;1;1;2;2;1;3;1;1;1;1;1;1;2;7;2;2;1;1;3.177;3.761
6416;AMBA;1;5;1;;5;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;2;0;2;2;3;1;1;1;2;;4;;2;3;1;1;5;2;2;1;;4;1;3;1;3;1;1;3;3;1;1;02;1;1;2;2;2;4;1;1;1;1;1;1;2;4;1;4;2;1;4.829;5.078
6420;AMBA;1;3;1;;3;1;4;2;3;;1;1;1;1;4;2;3;;4;2;3;;2;;3;;2; ;2;0;1;1;0;1;2;4;1;1;1;2;;2;;1;1;1;;5;2;1;;1;;1;2;3;3;1;1;3;3;1;1;01;1;1;2;1;2;2;1;1;1;1;1;1;2;5;2;4;2;1;4.345;4.937
7208;AMBA;1;3;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;4;1;1;2;2;;2;;2;3;1;1;5;2;1;;1;;1;2;3;3;3;1;1;2;2;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;5;2;4;2;1;5.153;6.244
7210;AMBA;1;1;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;0;1;0;2;2;3;1;1;2;2;1;2;1;1;3;1;1;7;2;1;;1;;1;3;1;3;1;1;2;3;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;7;2;4;2;1;130;01
7211;AMBA;1;1;1;;2;1;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;1;1;0;0;0;2;2;3;1;1;1;2;1;1;1;2;1;2;;8;2;1;;1;;1;1;1;3;1;1;3;3;1;1;01;1;1;2;2;2;4;1;2;2;1;2;1;2;8;2;4;2;1;1.439;1.459
7219;AMBA;1;2;1;;3;1;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;1;0;1;0;0;2;2;3;1;2;;;;2;;2;3;1;1;5;2;2;1;;5;1;3;3;3;1;1;3;3;1;1;01;1;1;2;2;2;4;2;3;3;1;1;3;2;5;2;4;2;1;2.462;2.914
7414;AMBA;1;2;1;;6;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;3;3;;1;cuadernillos;3;0;0;0;3;1;1;3;1;1;1;1;;1;;2;2;;1;4;2;1;;3;;1;1;3;1;1;1;2;1;3;2;02;2;1;1;1;1;1;1;1;2;2;3;2;1;4;1;1;1;1;2.808;3.701
7422;AMBA;1;1;1;;3;2;3;1;3;;3;1;3;;4;2;3;;3;1;3;;1;2;2;2;1;cuaderno;1;0;0;1;0;2;2;2;1;2;;;;1;;2;1;1;;5;2;1;;1;;1;3;3;3;1;1;2;1;1;1;02;1;1;2;2;2;4;2;3;3;1;1;3;2;5;2;4;2;1;126;01
8116;AMBA;1;2;1;;4;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;1;1;2;1;seguimos educando;2;0;0;0;2;1;1;3;1;2;;;;0;;2;4;;;8;2;2;3;;3;1;1;3;1;1;3;2;3;1;2;01;1;1;1;1;1;1;2;3;3;3;4;4;2;3;1;1;1;1;3.453;4.088
8220;AMBA;1;2;1;;3;1;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;1;0;1;0;0;1;1;2;1;2;;;;1;;2;2;;2;4;2;1;;3;;1;1;3;3;3;1;3;3;1;2;02;1;1;2;1;1;1;2;3;3;2;3;4;1;4;1;1;1;1;1.741;2.061
8302;AMBA;1;4;1;;4;3;2;1;2;2;2;1;2;2;3;1;3;;3;1;3;;1;2;2;2;2; ;1;0;0;1;0;1;2;2;1;1;2;1;;3;;2;1;2;;3;2;1;;1;;1;1;1;1;1;1;1;1;3;1;02;2;1;2;1;2;2;1;1;2;1;2;1;1;3;1;4;2;1;4.388;5.303
8310;AMBA;1;3;1;;5;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;3;1;1;4;2;2;2;2;2;3;1;1;8;2;2;2;;8;1;3;1;3;3;1;1;3;2;1;02;1;1;2;2;2;4;1;1;1;1;1;1;2;8;2;4;2;1;1.509;63
8312;AMBA;1;3;1;;4;2;3;1;3;;2;1;2;2;4;2;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;3;1;1;1;2;1;2;2;1;3;3;1;8;2;2;2;;8;1;2;2;3;1;1;3;3;2;1;01;1;1;2;2;2;4;1;2;2;1;2;1;2;8;2;4;2;1;4.379;4.881
8415;AMBA;1;4;1;;8;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;2;2;2;2; ;2;0;0;2;0;1;1;5;1;1;2;2;;2;;2;1;1;;2;1;1;;1;;1;1;1;1;1;3;3;3;1;1;02;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;138;01
8418;AMBA;1;3;1;;4;2;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;2;1;1;0;0;2;2;4;1;1;1;2;1;2;0;2;3;1;1;8;2;1;;1;;1;1;1;1;1;1;1;1;2;1;01;1;1;2;2;2;4;1;2;2;1;1;1;2;8;2;4;2;1;3.413;3.805
8501;AMBA;1;5;1;;8;5;3;1;3;;1;1;1;2;3;1;3;;2;1;2;2;2;;3;;2; ;2;0;1;0;1;2;2;4;1;1;1;2;;4;;2;1;2;;9;2;2;3;;4;1;1;3;1;1;1;3;3;4;2;02;2;1;1;2;2;4;1;1;2;1;2;1;2;4;1;3;2;1;5.434;917
8505;AMBA;1;5;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;4;1;1;1;2;;2;;2;3;2;1;8;1;1;;2;;1;3;1;3;3;1;2;2;1;1;01;1;1;2;2;2;4;1;1;1;1;2;1;2;8;2;4;2;1;3.636;3.823
8513;AMBA;1;5;1;;3;1;5;2;3;;5;2;3;;5;2;3;;5;2;3;;2;;3;;2; ;1;0;0;1;0;2;2;2;1;1;2;2;;3;;2;3;1;1;7;2;1;;1;;1;1;2;3;3;1;2;3;1;1;02;1;1;2;2;2;4;1;1;1;1;1;1;2;7;2;4;2;1;3.636;3.823
9210;AMBA;1;1;1;;6;3;3;1;3;;2;1;2;1;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;4;1;1;1;2;;2;;1;1;1;;5;2;2;3;;5;1;1;1;3;1;1;1;3;2;2;02;1;1;2;2;2;4;1;1;2;1;1;1;2;5;2;4;2;1;197;02
10411;AMBA;1;3;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;3;1;1;2;2;2;2;2;1;1;1;;8;1;1;;2;;1;3;3;3;3;1;1;3;1;1;01;1;1;2;2;2;4;1;2;2;1;1;1;2;8;2;4;2;1;5.368;5.644
10709;AMBA;1;5;1;;4;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;1;2;2;2;2; ;1;0;0;1;0;2;2;3;1;1;1;2;;2;;2;1;1;;5;2;2;1;;5;1;3;1;1;1;1;3;1;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;5;2;4;2;1;438;02
10710;AMBA;1;3;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;1;1;0;2;2;3;1;1;2;2;;2;;1;3;1;1;8;2;2;2;;8;1;3;99;3;1;1;3;3;2;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;8;2;4;2;1;4.045;4.510
10721;AMBA;1;5;1;;4;2;3;1;3;;3;1;3;;3;1;3;;4;2;3;;2;;3;;1;esi;2;0;1;1;0;2;2;3;1;1;1;2;;4;;1;1;1;;7;2;2;1;;9;1;1;3;1;1;1;2;3;2;1;01;1;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;6.951;7.943
11008;AMBA;1;3;1;;3;1;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;0;1;1;1;2;1;2;;;;1;;2;1;1;;5;2;2;1;;3;1;1;99;1;1;99;3;3;1;1;02;1;1;1;1;1;1;2;3;3;1;1;3;2;3;1;2;1;1;2.299;2.613
11011;AMBA;1;2;1;;5;2;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;1;1;3;1;2;;;;3;;2;2;;2;3;2;2;3;;5;1;1;2;1;1;3;3;3;2;2;02;1;1;2;1;1;1;2;3;3;2;3;4;1;5;2;1;1;1;1.322;1.641
11012;AMBA;1;2;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;2;0;2;2;2;1;1;1;1;;2;;2;2;;1;3;2;2;3;;3;1;3;3;3;1;1;1;2;1;2;02;1;1;2;2;2;4;1;1;1;2;3;2;1;3;1;3;2;1;1.767;2.092
11013;AMBA;1;4;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;1;1;1;1;3;1;1;1;2;;3;;2;1;2;;3;2;2;1;;3;1;1;2;3;3;1;1;1;2;1;01;1;1;1;1;1;1;1;1;2;1;2;1;1;3;1;2;1;1;1.551;1.713
11018;AMBA;1;4;1;;3;1;4;2;3;;2;1;2;1;4;2;3;;4;2;3;;1;4;3;;2; ;2;0;1;1;0;1;1;2;1;2;;;;2;;2;2;;2;4;2;1;;3;;2;2;3;3;3;2;3;3;1;2;02;1;1;2;1;1;1;2;3;3;2;3;4;1;4;1;1;1;1;561;632
11019;AMBA;1;4;1;;4;2;4;2;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;1;1;0;0;2;2;2;1;1;2;1;1;3;1;2;1;2;;5;2;1;;1;;2;1;1;3;1;1;1;3;2;1;02;2;1;2;2;2;4;1;1;2;1;2;1;2;5;2;4;2;1;2.849;3.404
11204;AMBA;1;5;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;0;1;0;1;2;3;1;1;3;2;1;4;0;1;3;2;1;8;2;2;1;;8;2;1;3;1;2;1;2;3;2;1;01;1;1;2;1;2;2;1;1;1;1;2;1;2;8;2;4;2;1;5.882;6.721
11406;AMBA;1;5;1;;6;4;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;4;1;1;4;2;2;4;2;2;1;1;;9;2;1;;1;;1;1;1;3;1;1;2;2;4;1;02;1;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;11.174;12.629
11810;AMBA;1;5;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;2;0;2;2;2;1;1;1;2;1;2;1;2;3;1;1;8;2;1;;1;;1;3;2;3;3;1;3;2;1;1;02;1;1;2;2;2;4;1;2;2;1;1;1;2;8;2;4;2;1;1.772;1.797
12208;AMBA;1;4;1;;9;5;3;1;3;;2;1;2;3;3;1;3;;3;1;3;;1;2;2;1;2; ;3;0;3;0;0;1;1;3;2;2;;;;1;;2;1;1;;4;2;2;3;;3;3;1;3;3;1;2;1;1;4;2;03;2;1;2;1;1;1;2;3;3;1;1;3;1;3;1;2;1;1;688;02
12220;AMBA;1;5;1;;5;3;2;1;2;2;3;1;3;;3;1;3;;2;1;2;2;1;2;2;2;1;Manual de lectura;2;0;1;1;0;2;2;3;1;1;4;1;;4;;1;1;2;;8;2;1;;1;;1;3;1;3;1;1;3;1;3;1;02;1;1;2;2;2;4;1;1;1;1;2;1;2;8;2;4;2;1;8.558;10.737
12806;AMBA;1;3;1;;5;2;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;2;2;3;1;1;1;2;;2;;2;1;2;;5;2;2;3;;9;1;2;3;1;1;1;2;3;2;2;02;1;1;2;2;2;4;1;1;2;1;2;1;2;9;2;4;2;1;3.374;4.089
12813;AMBA;1;1;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;0;1;0;2;2;2;1;1;3;2;1;2;0;1;1;1;;8;2;1;;2;;1;1;3;3;3;3;2;3;1;1;02;1;1;2;2;2;4;1;1;1;1;1;1;2;8;2;4;2;1;943;956
13218;AMBA;1;3;1;;4;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;1;0;0;0;2;2;3;1;1;4;2;0;2;0;1;1;1;;4;2;1;;1;;2;2;2;3;2;1;1;3;3;1;01;1;1;2;2;2;4;1;1;1;1;1;1;1;4;1;4;2;1;4.102;4.863
13609;AMBA;1;2;1;;5;3;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;0;0;2;0;2;1;3;1;1;1;2;;3;;1;3;1;1;9;2;1;;1;9;1;3;2;2;1;1;2;3;2;1;02;1;1;2;2;1;3;1;1;2;1;1;1;2;9;2;2;1;1;156;02
13709;AMBA;1;2;1;;5;3;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;99; ;2;0;2;0;0;2;2;3;1;1;1;1;;2;;2;3;1;1;4;2;1;;1;;1;3;3;3;1;1;3;3;3;1;02;1;1;2;2;2;4;1;1;2;1;1;1;1;4;1;4;2;1;1.762;2.353
13710;AMBA;1;4;1;;6;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;2;2;2;2; ;1;1;0;0;0;2;2;4;1;1;6;2;1;4;1;1;3;1;1;8;2;2;2;;8;1;2;3;3;3;1;3;3;1;1;02;1;1;2;2;2;4;1;1;1;1;1;1;2;8;2;4;2;1;4.824;5.072
13713;AMBA;1;3;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;2;0;0;2;2;4;1;1;3;2;;2;;2;3;1;1;7;2;1;;1;;1;1;1;2;3;1;1;3;2;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;7;2;4;2;1;4.354;4.854
13908;AMBA;1;4;1;;4;3;1;1;1;2;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;3;1;1;2;1;;1;;2;2;;2;4;2;1;;3;;1;1;3;1;1;1;1;2;3;2;01;1;1;2;2;2;4;1;1;2;2;3;2;1;4;1;3;2;1;6.385;8.202
13911;AMBA;1;4;1;;4;1;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;2;0;0;0;2;2;3;1;1;3;2;3;4;2;1;3;2;1;4;1;2;2;;7;1;3;3;3;99;1;2;2;1;1;01;1;1;2;2;2;4;1;2;2;1;2;1;1;7;2;4;2;4;4.438;4.666
14001;AMBA;1;1;1;;5;3;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;4;1;1;2;2;2;2;2;1;1;1;;8;2;2;1;;8;1;3;1;3;3;1;3;3;3;1;01;1;1;2;2;2;4;1;2;2;1;1;1;2;8;2;4;2;1;1.062;44
14011;AMBA;1;2;1;;4;2;3;1;3;;2;1;2;1;3;1;3;;3;1;3;;2;;3;;2; ;2;1;1;0;0;2;2;3;1;1;1;1;1;2;1;2;2;;1;7;2;1;;1;;1;1;1;3;1;1;2;3;2;1;01;1;1;2;2;2;4;1;2;2;2;3;2;2;7;2;3;2;1;3.469;4.464
14020;AMBA;1;4;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;0;1;2;2;2;1;1;1;2;;2;;2;3;1;1;2;2;2;3;;5;1;1;3;1;2;1;1;2;2;2;02;2;1;1;2;2;4;1;1;2;1;1;1;1;5;2;3;2;1;624;01
14204;AMBA;1;2;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;1;1;2;2; ;1;0;0;1;0;2;2;3;1;1;1;1;;4;;2;3;3;2;5;2;2;1;;4;1;1;3;1;1;1;3;2;2;1;01;1;1;2;2;2;4;1;1;2;1;2;1;2;4;1;4;2;1;3.107;3.999
14306;AMBA;1;3;1;;4;2;3;1;3;;1;1;1;2;3;1;3;;3;1;3;;2;;3;;2; ;2;1;1;0;0;2;2;2;1;1;2;2;1;2;1;1;3;1;1;8;1;1;;1;;3;1;3;3;3;3;1;2;2;1;02;2;1;2;2;2;4;1;1;2;1;1;1;2;8;2;4;2;1;5.996;7.266
14307;AMBA;1;3;1;;3;1;1;1;1;2;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;2;1;1;2;2;2;2;2;2;3;2;1;7;2;1;;1;;1;1;2;3;2;1;3;3;1;1;02;1;1;2;2;2;4;1;2;2;1;2;1;2;7;2;4;2;1;3.727;4.235
14314;AMBA;1;5;1;;5;1;2;1;2;2;2;1;2;2;2;1;2;5;2;1;2;2;2;;3;;1;no sabe;1;0;1;0;0;2;2;4;1;1;1;2;;4;;2;1;3;;8;2;2;1;;8;1;3;3;1;1;1;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;2;1;2;8;2;4;2;1;2.865;3.392
14811;AMBA;1;2;1;;2;1;3;1;3;;2;1;2;5;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;2;1;1;2;2;;1;;1;1;1;;7;2;1;;1;;1;2;2;3;3;1;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;7;2;4;2;1;3.601;4.093
14912;AMBA;1;1;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;1;0;0;0;2;2;2;1;1;1;2;1;1;1;2;3;1;1;7;2;1;;1;;1;3;2;3;1;99;2;99;1;1;02;1;1;2;2;2;4;1;2;2;1;1;1;2;7;2;4;2;1;1.459;1.479
14915;AMBA;1;1;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;2;0;0;0;2;2;3;1;1;1;2;1;2;2;2;3;1;2;7;1;1;;1;;1;1;3;3;3;2;3;3;2;1;01;1;1;2;2;2;4;1;2;2;1;1;1;2;7;2;4;2;1;1.565;1.564
15015;AMBA;1;1;1;;4;2;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;4;1;1;4;2;2;2;2;2;1;2;;8;2;1;;1;;3;1;1;1;3;1;1;1;2;1;01;1;1;2;2;2;4;1;1;1;1;2;1;2;8;2;4;2;1;1.806;1.805
15108;AMBA;1;5;1;;3;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;2;0;0;0;2;2;4;1;1;2;2;1;3;0;1;3;1;1;7;1;1;;1;;1;1;3;3;2;1;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;7;2;4;2;1;4.112;4.324
