ID;Region;Region_edu;Dominio;P1;P2;P3;P4;P9B1;conoce_web;usa_web;P9C1;P9B2;conoce_TV;usa_TV;P9C2;P9B3;conoce_radio;usa_radio;P9C3;P9B4;conoce_digital;usa_digital;P9C4;P9A5;P9B5;usa_impreso;P9C5;P10;P10a;P11;P11a;P11b;P11c;P11d;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29a;P29b;P30;P31;P32;P33;P34;P35;P36;P37;P38;NNA_asisten;cober_salud;pers_amb;hacinam;hacina2;perd_empleo;perc_AUH;perc_IFE;auh_ife;acceso_comp;dispo_comp;compu_NNA;acceso_int;tipo_int;acceso_TIC;NEA;clima;clima_dico;VSEH;VSEH_dico;tipo_SE;pondera_preliminar;pondera_definitivo
84005;NOA;4;1;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;1;1;2;1;2;;;;2;;2;2;;2;3;2;2;3;;3;1;2;2;3;2;1;1;2;1;2;02;2;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;1;52;01
84006;NOA;4;2;1;;5;3;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;1;1;1;2;2; ;2;2;0;0;0;2;2;2;1;2;;;;2;2;2;2;;2;7;2;1;;1;;1;1;3;2;2;1;2;2;3;1;03;2;1;2;2;2;4;2;3;3;2;3;4;2;7;2;3;2;1;1.830;2.387
84010;NOA;4;4;1;;2;1;4;2;3;;2;1;2;2;4;2;3;;4;2;3;;2;;3;;2; ;0;0;0;0;0;1;1;3;1;2;;;;2;;2;4;;;3;1;1;;3;;1;2;2;3;3;1;3;3;1;2;01;1;1;2;1;1;1;2;3;3;3;4;4;1;3;1;1;1;1;1.308;1.461
84011;NOA;4;1;1;;3;1;4;2;3;;3;1;3;;3;1;3;;3;1;3;;1;3;3;;2; ;2;1;1;0;0;1;1;1;2;2;;;;2;0;2;2;;1;3;1;1;;3;;1;1;1;1;1;1;3;3;1;2;03;2;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;1;1.166;1.416
84012;NOA;4;4;1;;4;1;4;2;3;;5;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;0;0;0;0;0;2;1;2;1;2;;;;2;;2;2;;3;3;2;1;;1;;1;3;3;1;1;1;2;3;1;1;02;2;1;2;2;1;3;2;3;3;2;3;4;1;3;1;1;1;1;1.308;1.461
84014;NOA;4;2;1;;4;2;4;2;3;;3;1;3;;4;2;3;;4;2;3;;1;1;1;1;2; ;2;0;2;0;0;2;2;3;2;1;1;2;;1;;2;2;;2;3;2;1;;3;;1;2;3;2;2;3;3;3;2;2;01;1;1;2;2;2;4;1;1;2;2;3;2;1;3;1;3;2;1;1.830;2.458
84018;NOA;4;4;1;;5;1;3;1;3;;3;1;3;;3;1;3;;1;1;1;1;1;2;2;2;2; ;1;0;1;0;0;2;1;3;1;2;;;;5;;2;2;;2;5;2;2;3;;3;1;2;2;2;99;1;3;3;1;2;02;1;1;2;2;1;3;2;3;3;2;3;4;2;3;1;1;1;1;1.308;1.461
84020;NOA;4;1;1;;8;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;1;1;2;1;cuaderno;2;0;2;0;0;2;2;4;1;1;1;2;;3;;2;3;1;1;4;2;2;1;;5;1;1;3;2;1;2;1;3;2;1;02;2;1;2;2;2;4;1;1;2;1;1;1;1;5;2;4;2;1;1.039;294
84309;NOA;4;2;1;;4;2;4;2;3;;2;1;2;1;4;2;3;;4;2;3;;2;;3;;1;LOS `PROGRAM AS DE ATC;1;0;1;0;0;2;2;2;2;2;;;;1;;2;2;;3;3;1;1;;3;;1;2;2;2;1;2;2;2;2;2;02;2;1;2;2;2;4;2;3;3;2;3;4;1;3;1;3;2;1;904;1.160
84310;NOA;4;3;1;;6;4;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;2; ;2;0;2;0;0;2;2;2;1;1;1;1;;2;;1;1;1;;8;1;1;;1;;3;3;2;3;1;3;1;3;4;1;03;2;1;2;2;2;4;1;1;2;1;1;1;2;8;2;4;2;1;2.290;2.979
84316;NOA;4;4;1;;5;3;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;1;0;0;1;0;2;2;3;2;2;;;;4;;2;2;;1;4;2;2;3;;4;3;3;3;3;3;1;1;3;1;2;02;1;1;2;2;2;4;2;3;3;2;3;4;1;4;1;3;2;4;44;01
84506;NOA;4;3;1;;4;2;4;2;3;;1;1;1;1;4;2;3;;4;2;3;;2;;3;;99; ;1;0;1;0;0;2;2;2;1;1;1;2;;3;;2;3;1;1;6;2;2;1;;9;1;2;3;3;1;3;3;3;2;1;02;2;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;1.728;2.119
84511;NOA;4;5;1;;5;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;2;0;0;2;2;3;1;1;1;2;;4;;2;1;2;;7;2;2;1;;7;1;2;2;3;2;2;2;3;3;1;02;1;1;2;2;2;4;1;1;2;1;2;1;2;7;2;4;2;1;2.020;478
84517;NOA;4;2;1;;3;1;2;1;2;3;2;1;2;3;3;1;3;;3;1;3;;2;;3;;2; ;2;0;1;1;0;2;2;3;1;1;4;2;;3;;2;1;1;;5;1;1;;1;;1;1;1;1;1;1;1;1;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;5;2;4;2;1;1.485;1.804
84601;NOA;4;4;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;2;2;2;2; ;1;0;1;0;0;1;1;2;2;2;;;;1;;2;2;;1;2;2;2;3;;2;1;1;3;1;1;3;3;3;1;2;02;2;1;2;1;1;1;2;3;3;2;3;4;1;2;1;1;1;1;140;16
84602;NOA;4;2;1;;5;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;1;1;1;2;1;CUADERNILLOS SEGUIMOS EDUCANDO;1;0;1;0;0;1;1;3;1;2;;;;3;;2;2;;3;3;2;1;;3;;1;2;3;2;2;3;3;3;1;2;02;1;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;1;13;01
84603;NOA;4;2;1;;6;4;3;1;3;;2;1;2;2;4;2;3;;4;2;3;;1;1;1;1;2; ;2;1;0;0;1;2;2;3;1;2;;;;2;0;2;2;;1;4;2;1;;1;;1;3;3;3;1;1;3;3;3;1;02;2;1;1;2;2;4;2;3;3;2;3;4;1;4;1;3;2;1;403;157
84607;NOA;4;1;1;;4;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;1;0;0;1;1;3;1;1;1;1;1;2;1;1;1;3;;8;2;2;1;;4;1;1;1;1;1;1;1;1;1;1;01;1;1;2;1;1;1;1;2;2;1;2;1;2;4;1;2;1;1;181;192
84610;NOA;4;2;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;1;1;2;2;3;2;2;;;;1;;2;2;;2;5;2;2;1;;5;3;1;3;1;1;1;3;3;2;1;01;1;1;1;2;2;4;2;3;3;2;3;4;2;5;2;3;2;1;263;337
84611;NOA;4;2;1;;2;1;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;0;0;0;0;0;2;2;2;2;2;;;;1;;2;2;;2;4;2;1;;3;;1;2;3;3;2;1;3;3;1;2;01;1;1;2;2;2;4;2;3;3;2;3;4;1;4;1;3;2;1;359;421
84612;NOA;4;4;1;;4;2;3;1;3;;1;1;1;1;3;1;3;;3;1;3;;1;1;1;1;2; ;2;0;2;0;0;2;2;2;1;2;;;;2;;2;2;;2;3;2;1;;1;;1;3;3;2;1;1;3;3;2;1;02;2;1;2;2;2;4;2;3;3;2;3;4;1;3;1;3;2;1;295;346
84906;NOA;4;2;1;;7;3;1;1;1;2;1;1;1;2;3;1;3;;3;1;3;;2;;3;;2; ;3;0;0;3;0;1;2;3;2;1;1;1;;3;;2;2;;1;5;2;2;3;;3;1;2;1;1;1;3;3;1;2;2;02;2;1;2;1;2;2;1;1;2;2;3;2;2;3;1;3;2;1;581;71
84907;NOA;4;4;1;;6;2;4;2;3;;1;1;1;2;4;2;3;;4;2;3;;2;;3;;2; ;1;0;1;0;0;1;1;4;1;2;;;;5;;2;2;;2;3;2;1;;3;;1;2;3;1;1;1;2;3;2;2;02;1;1;2;1;1;1;2;3;3;2;3;4;1;3;1;1;1;1;2.154;2.449
84914;NOA;4;4;1;;5;3;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;1;0;1;2;2;3;2;2;;;;1;;2;4;;;3;2;2;3;;2;2;2;3;3;1;1;1;1;3;2;02;1;1;1;2;2;4;2;3;3;3;4;4;1;2;1;3;2;1;2.841;3.478
84915;NOA;4;4;1;;10;5;4;2;3;;4;2;3;;3;1;3;;4;2;3;;2;;3;;2; ;4;0;4;0;0;1;2;4;1;2;;;;4;;2;2;;3;4;2;2;3;;3;1;1;2;2;2;1;1;1;5;2;03;2;1;2;1;2;2;2;3;3;2;3;4;1;3;1;3;2;1;6.132;9.292
85002;NOA;4;5;1;;6;3;4;2;3;;1;1;1;1;4;2;3;;4;2;3;;2;;3;;2; ;1;0;1;0;0;1;2;6;1;2;;;;1;;2;2;;1;5;2;2;3;;3;2;2;2;2;2;3;3;3;3;2;01;1;1;2;1;2;2;2;3;3;2;3;4;2;3;1;3;2;1;4.455;5.846
85003;NOA;4;4;1;;7;3;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;4;0;0;4;0;1;1;4;1;2;;;;2;;2;2;;1;6;2;2;3;;6;2;3;3;3;3;1;1;3;2;2;02;1;1;2;1;1;1;2;3;3;2;3;4;2;6;2;1;1;1;1.255;355
